Date : 2024-08-01 21:34:58
Directory : d:\VS experiments\canasta
Total : 56 files,  2318 codes, 224 comments, 331 blanks, all 2873 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\VS experiments\canasta\linux\my_application.cc                                       | C++        |         74 |         11 |         20 |        105 |
| d:\VS experiments\canasta\linux\my_application.h                                        | C++        |          7 |          7 |          5 |         19 |
| d:\VS experiments\canasta\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |          6 |          3 |          4 |         13 |
| d:\VS experiments\canasta\macos\RunnerTests\RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| d:\VS experiments\canasta\macos\Runner\AppDelegate.swift                                | Swift      |          8 |          0 |          2 |         10 |
| d:\VS experiments\canasta\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          1 |         69 |
| d:\VS experiments\canasta\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| d:\VS experiments\canasta\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| d:\VS experiments\canasta\pubspec.yaml                                                  | YAML       |         22 |          0 |          6 |         28 |
| d:\VS experiments\canasta\web\index.html                                                | HTML       |         38 |         16 |          6 |         60 |
| d:\VS experiments\canasta\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| d:\VS experiments\canasta\windows\flutter\generated_plugin_registrant.cc                | C++        |          3 |          4 |          5 |         12 |
| d:\VS experiments\canasta\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| d:\VS experiments\canasta\windows\runner\flutter_window.cpp                             | C++        |         49 |          7 |         16 |         72 |
| d:\VS experiments\canasta\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| d:\VS experiments\canasta\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| d:\VS experiments\canasta\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| d:\VS experiments\canasta\windows\runner\utils.cpp                                      | C++        |         54 |          2 |         10 |         66 |
| d:\VS experiments\canasta\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| d:\VS experiments\canasta\windows\runner\win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| d:\VS experiments\canasta\windows\runner\win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                   |            |      2,318 |        224 |        331 |      2,873 |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
